Symbol,Side,Entry,SL,SweepLevel,InitialRisk,Qty,RemainingQty,T1Qty,T2Qty,RunnerQty,RealizedPnL,EntryCapital,Score,Grade,T1,T2,T1Hit,T2Hit,RunnerActive,HighestPrice,LowestPrice,ChandelierStop,EntryTime,LastUpdateTime,Status
ADANIENT,BUY,3100.1,2981.78,3028.0,118.32,3,3,1,1,1,0.0,36146.14,71.93,B,3336.74,3573.37,False,False,True,3211.0,3010.0,3027.01,2026-07-09 07:04:40.893794,2026-07-24 06:13:30.886116,OPEN
UNOMINDA,SELL,1156.7,1188.62,1171.8,31.92,10,10,4,3,3,0.0,34162.89,74.15,B,1092.86,1029.01,False,False,True,1156.699951171875,1116.699951171875,1161.15,2026-07-16 06:05:16.333023,2026-07-24 06:13:32.544573,OPEN
DIVISLAB,BUY,7247.5,7125.11,7204.0,122.39,2,2,1,1,1,0.0,33798.89,75.26,A,7492.29,7737.07,False,False,True,7393.5,7207.5,7125.11,2026-07-17 10:16:32.062750,2026-07-24 06:13:32.883520,OPEN
VOLTAS,BUY,1308.0,1285.6,1303.8,22.4,15,15,6,4,5,0.0,33837.74,74.68,B,1352.81,1397.61,False,False,True,1319.0,1308.0,1294.23,2026-07-22 11:19:45.407338,2026-07-24 06:13:34.340573,OPEN
CONCOR,BUY,480.5,471.39,478.2,9.11,37,37,14,11,12,0.0,34269.34,77.96,A,498.72,516.95,False,False,True,480.5,478.3500061035156,471.39,2026-07-23 11:19:23.179290,2026-07-24 06:13:34.678036,OPEN
INDUSINDBK,BUY,1005.5,984.18,999.3,21.32,16,16,6,4,6,0.0,34269.34,75.98,A,1048.14,1090.77,False,False,True,1005.5,997.5499877929688,993.75,2026-07-23 11:19:31.894507,2026-07-24 06:13:34.999907,OPEN
GODREJPROP,BUY,2041.0,2001.17,2034.2,39.83,8,8,3,2,3,0.0,34269.34,72.77,B,2120.66,2200.33,False,False,True,2041.0,2022.199951171875,2001.17,2026-07-23 11:19:47.591884,2026-07-24 06:13:35.288541,OPEN
BLUESTARCO,BUY,1633.9,1609.83,1634.0,24.07,14,14,5,4,5,0.0,33933.94,71.2,B,1682.04,1730.18,False,False,True,1635.300048828125,1633.9000244140625,1609.83,2026-07-23 11:47:12.884153,2026-07-24 06:13:35.587477,OPEN
NAUKRI,BUY,1160.3,1130.13,1150.75,30.17,11,11,4,3,4,0.0,33933.94,78.45,A,1220.64,1280.97,False,False,True,1160.300048828125,1160.300048828125,1130.13,2026-07-24 06:15:06.914283,2026-07-24 06:15:06.914283,OPEN
LODHA,BUY,1143.05,1103.19,1127.1,39.86,8,8,3,2,3,0.0,33933.94,77.87,A,1222.78,1302.5,False,False,True,1143.050048828125,1143.050048828125,1103.19,2026-07-24 06:14:18.706422,2026-07-24 06:14:18.706422,OPEN
