Date,Symbol,Side,Rank,Entry,Exit,Points,Pct
2026-05-27 13:30:05.365472+05:30,MUTHOOTFIN.NS,BUY,💎 ELITE,3340.0,3312.0,-28.0,-0.84
2026-05-29 10:26:42.574865+05:30,ICICIPRULI.NS,BUY,💎 ELITE,523.5499877929688,514.9500122070312,-8.6,-1.64
2026-05-29 11:57:43.210777+05:30,ADANIPOWER.NS,BUY,💎 ELITE,249.39999389648438,246.63999938964844,-2.76,-1.11
2026-05-29 11:57:45.346351+05:30,BEL.NS,SELL,💎 ELITE,414.3999938964844,416.79998779296875,-2.4,-0.58
2026-05-29 11:57:46.201623+05:30,DLF.NS,BUY,💎 ELITE,605.1500244140625,600.4000244140625,-4.75,-0.78
2026-05-29 11:57:47.546877+05:30,LTTS.NS,BUY,💎 ELITE,3595.0,3526.800048828125,-68.2,-1.9
2026-05-29 11:57:48.419527+05:30,MUTHOOTFIN.NS,BUY,💎 ELITE,3337.60009765625,3309.0,-28.6,-0.86
2026-05-29 11:57:49.675237+05:30,SIEMENS.NS,SELL,💎 ELITE,3780.0,3909.199951171875,-129.2,-3.42
2026-05-29 13:19:57.821376+05:30,COALINDIA.NS,BUY,💎 ELITE,463.6000061035156,462.6499938964844,-0.95,-0.2
2026-05-29 13:20:00.707750+05:30,HCLTECH.NS,BUY,💎 ELITE,1189.199951171875,1183.199951171875,-6.0,-0.5
2026-05-29 13:20:01.512592+05:30,IDFCFIRSTB.NS,BUY,💎 ELITE,72.56999969482422,71.44000244140625,-1.13,-1.56
2026-05-29 14:28:13.583844+05:30,ICICIGI.NS,SELL,💎 ELITE,1849.0,1820.300048828125,28.7,1.55
2026-05-29 14:28:15.636835+05:30,NMDC.NS,SELL,💎 ELITE,91.72000122070312,89.26000213623047,2.46,2.68
2026-05-29 14:28:16.558029+05:30,BALKRISIND.NS,SELL,💎 ELITE,2177.5,2190.60009765625,-13.1,-0.6
2026-05-29 14:28:17.977216+05:30,MARUTI.NS,SELL,💎 ELITE,13218.0,13308.0,-90.0,-0.68
2026-05-29 15:56:26.821574+05:30,GMRAIRPORT.NS,BUY,💎 ELITE,102.94000244140625,100.1500015258789,-2.79,-2.71
2026-05-29 15:56:32.460238+05:30,JINDALSTEL.NS,BUY,💎 ELITE,1220.199951171875,1209.0,-11.2,-0.92
2026-05-29 15:56:34.240501+05:30,TITAN.NS,SELL,💎 ELITE,4095.199951171875,4110.89990234375,-15.7,-0.38
2026-05-29 15:56:34.916328+05:30,TORNTPHARM.NS,BUY,🔥 JACKPOT,4465.39990234375,4410.7998046875,-54.6,-1.22
2026-05-29 17:36:37.953136+05:30,CANBK.NS,SELL,💎 ELITE,133.5800018310547,130.8000030517578,2.78,2.08
2026-05-29 17:36:48.197483+05:30,360ONE.NS,SELL,💎 ELITE,1096.199951171875,1104.5,-8.3,-0.76
2026-06-01 10:40:50.545209+05:30,DELHIVERY.NS,SELL,💎 ELITE,459.75,438.95001220703125,20.8,4.52
2026-06-01 10:40:54.327928+05:30,METROPOLIS.NS,BUY,💎 ELITE,543.2000122070312,542.7999877929688,-0.4,-0.07
2026-06-01 10:40:57.398343+05:30,BERGEPAINT.NS,SELL,💎 ELITE,507.8999938964844,512.8499755859375,-4.95,-0.97
2026-06-01 10:40:58.328036+05:30,CROMPTON.NS,SELL,💎 ELITE,286.6499938964844,274.3999938964844,12.25,4.27
2026-06-01 10:41:02.101591+05:30,OFSS.NS,SELL,💎 ELITE,10045.0,10194.5,-149.5,-1.49
2026-06-01 10:41:02.984483+05:30,SUNTV.NS,SELL,💎 ELITE,506.20001220703125,520.25,-14.05,-2.78
2026-06-01 10:41:05.816355+05:30,HEROMOTOCO.NS,SELL,💎 ELITE,4983.5,4838.39990234375,145.1,2.91
2026-06-01 10:41:06.785514+05:30,INFY.NS,SELL,🔥 JACKPOT,1189.5,1209.0,-19.5,-1.64
2026-06-01 10:41:09.124460+05:30,CHAMBLFERT.NS,SELL,💎 ELITE,465.25,474.79998779296875,-9.55,-2.05
2026-06-01 10:41:12.035027+05:30,SHREECEM.NS,BUY,💎 ELITE,25275.0,25105.0,-170.0,-0.67
2026-06-01 10:41:14.186511+05:30,JSL.NS,SELL,💎 ELITE,685.0999755859375,700.25,-15.15,-2.21
2026-06-01 12:23:47.849886+05:30,AMBUJACEM.NS,SELL,💎 ELITE,455.45001220703125,442.1000061035156,13.35,2.93
2026-06-01 12:23:48.808138+05:30,ESCORTS.NS,SELL,💎 ELITE,2861.0,2770.199951171875,90.8,3.17
2026-06-01 12:23:52.845928+05:30,UBL.NS,SELL,💎 ELITE,1327.5999755859375,1292.300048828125,35.3,2.66
2026-06-01 14:17:34.115301+05:30,TRENT.NS,BUY,💎 ELITE,4315.60009765625,4194.0,-121.6,-2.82
2026-06-01 14:17:35.051798+05:30,^NSEBANK,SELL,💎 ELITE,54578.3515625,53553.3984375,1024.95,1.88
2026-06-01 14:17:36.136460+05:30,APLAPOLLO.NS,SELL,💎 ELITE,1836.300048828125,1794.4000244140625,41.9,2.28
2026-06-01 14:17:38.617862+05:30,BRITANNIA.NS,SELL,💎 ELITE,5267.0,5169.5,97.5,1.85
2026-06-01 14:17:40.628099+05:30,NAVINFLUOR.NS,SELL,💎 ELITE,7198.0,7007.5,190.5,2.65
2026-06-01 14:17:41.584038+05:30,COCHINSHIP.NS,SELL,💎 ELITE,1466.5999755859375,1431.800048828125,34.8,2.37
